rank,score,url,chunk_index,snippet,fts_rank
37,0.694246,https://vimeo.com/privacy,59,"ation and authentication:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""[children]\"":\"" We use your [data] …",-12.093069
38,0.694246,https://vimeo.com/legal/privacy,59,"ation and authentication:\""}]}],[\""$\"",\""$3\"",\""1\"",{\""[children]\"":\"" We use your [data] …",-12.093069
39,0.693780,https://docs.stripe.com,263,"… personal [data]"",""href"":""\u002Fprivacy\u002Fredaction"",""description"":null,""[children]"":[{""type"":""link …",-11.761149
40,0.685393,https://docs.stripe.com,145,"… u002Fstripe-[data]\u002Faccess-[data]-in-warehouse"",""description"":null,""[children]"":[],""hidden …",-12.260949
41,0.685091,https://paypal.com/myaccount/privacy/cookiePrefs,37,"… your [data], or ""},{""type"":""variable-block"",""value"":""link"",""[children]"":[{""type …",-11.511473
42,0.684991,https://vimeo.com/privacy,65,"… 0\"",{\""[children]\"":\""5. With Whom We Share Your [Data]\""}]]}]]}]]}],[\""$\"",\""p …",-12.288462
43,0.684991,https://vimeo.com/legal/privacy,65,"… 0\"",{\""[children]\"":\""5. With Whom We Share Your [Data]\""}]]}]]}]]}],[\""$\"",\""p …",-12.288462
44,0.683438,https://docs.stripe.com,179,"… regulatory-[data]-for-credit-decisions"",""description"":null,""[children]"":[],""hidden"":false …",-11.908458
45,0.682515,https://docs.stripe.com/payments/checkout,81,"… u002Fpayments\u002Fcrypto"",""description"":null,""[children]"":[],""hidden"":false,""active"":false,""expanded …",-11.862297
46,0.675197,https://docs.stripe.com,102,"… [data]"",""href"":""\u002Fterminal\u002Ffeatures\u002Fcollect-[data]"",""description"":null,""[children]"":[],""hidden …",-12.186781
47,0.672956,https://docs.stripe.com,147,"… [data]\u002Fimport-external-[data]\u002Fconnectors\u002Fgoogle-play"",""description"":null,""[children] …",-12.025060
48,0.672071,https://docs.stripe.com,139,"… [Data] freshness"",""href"":""\u002Frevenue-recognition\u002Fdata-freshness"",""description"":null,""[children] …",-11.847205
49,0.671892,https://docs.stripe.com,395,"… and verify [data] from a user."",""[children]"":[{""type"":""link"",""text …",-11.663982
50,0.671436,https://docs.stripe.com,109,"… u002Fstablecoin-payouts"",""description"":null,""[children]"":[],""hidden"":false,""active"":false,""expanded …",-11.847205
51,0.670398,https://docs.stripe.com/payments/checkout,111,"… [data]"",""href"":""\u002Fterminal\u002Ffeatures\u002Fcollect-[data]"",""description"":null,""[children]"":[],""hidden …",-12.268721
52,0.668835,https://docs.stripe.com,168,"… u002Fimport-non-stripe-[data]"",""description"":null,""[children]"":[],""hidden"":false,""active …",-12.037236
53,0.668743,https://vimeo.com/privacy,61,"… 3\"",\""1\"",{\""[children]\"":\"" We use your [data] to personalize the …",-12.225569
54,0.668743,https://vimeo.com/legal/privacy,61,"… 3\"",\""1\"",{\""[children]\"":\"" We use your [data] to personalize the …",-12.225569
55,0.666103,https://vimeo.com/privacy,86,"… Once on a third-party site, your [data] may be …",-12.367309
56,0.666103,https://vimeo.com/legal/privacy,86,"… Once on a third-party site, your [data] may be …",-12.367309
57,0.659127,https://docs.stripe.com,273,"… apps\u002Fnetsuite\u002Fsync-[data]"",""description"":null,""[children]"":[],""hidden"":false,""active …",-11.999268
58,0.655129,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,26,"… [data], visit our ""},{""type"":""variable-block"",""value"":""link"",""[children]"":[{""type …",-11.417313
59,0.655096,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,22,"… value"":""link"",""[children]"":[{""type"":""literal"",""value"":""[data] and privacy settings …",-11.139322
60,0.650628,https://vimeo.com/cookie_policy,52,"… [data]-sfri11471/mac\""},\""position\"":\""content\""}},\""[children]\"":[[[\""$\"",\""$3\"",\""E6njC9i6pDH3\"",{\""[children]\"":[[\""$\"",\""$3 …",-12.318942
61,0.650298,https://corporate.walmart.com/privacy-security/walmart-consumer-health-data-privacy-notices,24,"""target"":""_self"",""clockFlag"":false,""[children]"":[]}]},{""path"":""/suppliers/sams-club-suppliers …",-11.290251
62,0.649944,https://vimeo.com/privacy/us-state-privacy,72,"… start\"",\""[children]\"":[[\""$\"",\""$3\"",\""QeKB6zEYZldU\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""If we …",-11.720567
63,0.649691,https://vimeo.com/privacy/us-state-privacy,89,"… [Data] Protection Officer\""}]}],[\""$\"",\""$3\"",\""3\"",{\""[children]\"":\""\\n\""}],[\""$\"",\""$3\"",\""4\"",{\""[children] …",-12.634431
64,0.649492,https://docs.stripe.com,200,"… default-price-[data]-metadata-field"",""description"":null,""[children]"":[],""hidden"":true …",-11.524164
65,0.649084,https://docs.stripe.com,72,"… another-processor"",""description"":null,""[children]"":[],""hidden"":false,""active"":false,""expanded …",-11.732872
66,0.647670,https://www.edps.europa.eu/press-publications/press-news/blog/cradle-cloud-exploring-surveillance-and-digitalisation-minors,1,… The conference tackled the most prominent aspects of [children] and …,-9.721271
67,0.647670,https://www.edps.europa.eu/press-publications/press-news/blog/cradle-cloud-exploring-surveillance-and-digitalisation-minors_en,1,… The conference tackled the most prominent aspects of [children] and …,-9.721271
68,0.647025,https://docs.stripe.com,177,"… [data]"",""href"":""\u002Fissuing\u002Fpurchases\u002Fenriched-merchant-[data]"",""description"":null,""[children] …",-12.056335
69,0.646942,https://vimeo.com/legal/terms,131,"… BYLCQRDrN1NX\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""; (c) an alleged [data] breach …",-12.522617
70,0.646942,https://vimeo.com/terms,131,"… BYLCQRDrN1NX\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""; (c) an alleged [data] breach …",-12.522617
71,0.641487,https://docs.stripe.com,294,"… of an existing refund."",""[children]"":[],""hidden"":false,""active"":false,""expanded …",-11.578372
72,0.640943,https://vimeo.com/privacy,83,… and Exploited [Children] (NCMEC) along with the [data] identifying the …,-10.064170
73,0.640943,https://vimeo.com/legal/privacy,83,… and Exploited [Children] (NCMEC) along with the [data] identifying the …,-10.064170
74,0.635767,https://docs.stripe.com,288,"… of type multipart\u002Fform-[data]."",""[children]"":[],""hidden"":false,""active"":false …",-11.585325
75,0.631963,https://vimeo.com/legal/privacy,90,"… snug\"",\""[children]\"":[[\""$\"",\""$3\"",\""l0DX64DEZvQm\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""14. Your …",-11.801549
76,0.631963,https://vimeo.com/privacy,90,"… snug\"",\""[children]\"":[[\""$\"",\""$3\"",\""l0DX64DEZvQm\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""14. Your …",-11.801549
77,0.630868,https://paypal.com/myaccount/privacy/cookiePrefs,46,"… [data]."",""link"":{""_message"":[{""type"":""variable-block"",""value"":""link"",""[children]"":[{""type …",-10.822453
78,0.625150,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,21,"… value"":""link"",""[children]"":[{""type"":""literal"",""value"":""[data] and privacy settings …",-9.952851
79,0.624682,https://paypal.com/myaccount/privacy/cookiePrefs,36,"… value"":""link"",""[children]"":[{""type"":""literal"",""value"":""[data] and privacy settings …",-10.632701
80,0.622239,https://vimeo.com/privacy,70,… We require that all vendors agree to protect the [data] …,-12.036605
81,0.622239,https://vimeo.com/legal/privacy,70,… We require that all vendors agree to protect the [data] …,-12.036605
82,0.620572,https://ftc.gov/business-guidance/privacy-security/childrens-privacy,33,FTC says Amazon kept kids’ Alexa voice [data] forever – even …,-9.561676
83,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=en-GB,51,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
84,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=cs-CZ,115,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
85,0.619536,https://snap.com/terms/snap-camera-kit?lang=lt-LT,54,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
86,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=lt-LT,53,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
87,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=mt-MT,53,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
88,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=bg-BG,53,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
89,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=et-EE,53,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
90,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=hr-HR,53,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
91,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=hu-HU,53,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
92,0.619536,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=sl-SI,50,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
93,0.619536,https://snap.com/privacy/transparency/india-10-2021?lang=lv-LV,51,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.981347
94,0.618438,https://vimeo.com/privacy/us-state-privacy,114,"… [data]-retention\"",\""page\"":\""lk17jSXy1UCzGdRgALmD\""},\""position\"":\""content\""}},\""[children]\"":[[[\""$\"",\""$3\"",\""KPB5Bg0Zrfsb\"",{\""[children] …",-12.102427
95,0.618330,https://docs.stripe.com,209,"… delivery-fee"",""description"":null,""[children]"":[],""hidden"":true,""active"":false,""expanded …",-11.349623
96,0.617521,https://vimeo.com/privacy/us-state-privacy,52,"… PCh9WHzqUy60\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""1. Description of [Data] Practices …",-11.785696
97,0.614721,https://docs.stripe.com,325,"… throughput meter event stream."",""[children]"":[],""hidden"":false,""active"":false,""expanded …",-11.075853
98,0.613041,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,24,"… [children]"":[{""type"":""literal"",""value"":""Security options""}]}]},""title4"":""Know your [data] …",-11.443160
99,0.611509,https://snap.com/terms/spotlight-challenges-official-rules/2021-10-22,110,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
100,0.611509,https://snap.com/privacy/cookie-information,308,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
101,0.611509,https://snap.com/privacy/transparency/2015-2-28,105,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
102,0.611509,https://snap.com/terms/snap-business-tools,293,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
103,0.611509,https://snap.com/privacy/transparency/india-09-2021,293,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
104,0.611509,https://snap.com/privacy/transparency/india-10-2022,60,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
105,0.611509,https://snap.com/terms/sms,41,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
106,0.611509,https://snap.com/terms/cst/2018-03-23,55,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
107,0.611509,https://snap.com/terms/spotlight-challenges-official-rules,82,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
108,0.611509,https://snap.com/content-recommendation-guidelines?lang=en-GB,40,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
109,0.611509,https://snap.com/terms/snap-games-platform/2020-03-02,232,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
110,0.611509,https://snap.com/terms/us-privacy-010123,46,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
111,0.611509,https://snap.com/terms/content-partner-terms,36,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
112,0.611509,https://snap.com/terms/self-serve-advertising,58,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
113,0.611509,https://snap.com/terms/developer/2021-07-01,231,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
114,0.611509,https://snap.com/terms/my-selfie,222,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-9.791823
115,0.607413,https://docs.stripe.com,181,"… u002Fimport-non-stripe-[data]"",""description"":null,""[children]"":[],""hidden"":false,""active …",-12.051553
116,0.605735,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,23,"… your [data], or ""},{""type"":""variable-block"",""value"":""link"",""[children]"":[{""type …",-10.977645
117,0.604627,https://vimeo.com/legal/privacy,56,"… 0\"",{\""[children]\"":\""We automatically collect certain types of [data] when …",-11.774510
118,0.604627,https://vimeo.com/privacy,56,"… 0\"",{\""[children]\"":\""We automatically collect certain types of [data] when …",-11.774510
119,0.603445,https://vimeo.com/legal/privacy,104,"… [Children]'s Privacy\"",\""depth\"":1},{\""id\"":\""id-3.-[data]-we …",-11.313668
120,0.603445,https://vimeo.com/privacy,104,"… [Children]'s Privacy\"",\""depth\"":1},{\""id\"":\""id-3.-[data]-we …",-11.313668
121,0.594042,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,9,"… link"",""[children]"":[{""type"":""literal"",""value"":""manage your [data] here""}]},{""type …",-11.416908
122,0.592281,https://vimeo.com/privacy/us-state-privacy,78,… Deleting all [data] will typically require the deletion of your …,-11.330690
123,0.592258,https://paypal.com/myaccount/privacy/cookiePrefs,15,"… [data]."",""zettleuklink"":{""_message"":[{""type"":""variable-block"",""value"":""link"",""[children]"":[{""type …",-11.462868
124,0.587653,https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260,26,… and sales [data] to complete a transaction. [Children]'s Privacy …,-9.629802
125,0.587527,https://oag.ca.gov/privacy/business-privacy,4,… [Children] Online Resources for Law Enforcement Special Protection [Data] Brokers …,-10.263092
126,0.586800,https://docs.stripe.com,221,"… codes-setupintent"",""description"":null,""[children]"":[],""hidden"":true,""active"":false,""expanded …",-11.328462
127,0.578258,https://ico.org.uk/global/privacy-notice,0,Your [data] protection rights Request a service adjustment Sharing your …,-9.561676
128,0.577817,https://docs.stripe.com,191,"… us-cfpb-[data]-to-person"",""description"":null,""[children]"":[],""hidden"":true …",-11.484866
129,0.577280,https://vimeo.com/terms,40,"… 1\"",\""[children]\"":[[\""$\"",\""span\"",null,{\""className\"":\""truncate grow\"",\""[children]\"":\""🇺🇸 English\""}],[\""$\"",\""$L24 …",-10.835310
130,0.577280,https://vimeo.com/legal/terms,40,"… 1\"",\""[children]\"":[[\""$\"",\""span\"",null,{\""className\"":\""truncate grow\"",\""[children]\"":\""🇺🇸 English\""}],[\""$\"",\""$L24 …",-10.835310
131,0.575501,https://vimeo.com/legal/privacy,85,"… 0\"",{\""[children]\"":\""You may receive other people's [data] in …",-11.791078
132,0.575501,https://vimeo.com/privacy,85,"… 0\"",{\""[children]\"":\""You may receive other people's [data] in …",-11.791078
133,0.573701,https://docs.stripe.com,197,"… of_additional_kyc_[data]"",""description"":null,""[children]"":[],""hidden"":true,""active …",-11.525599
134,0.570922,https://ads.tiktok.com/help/,450,"… Web [Data] Connections"";jl.description=""9580"";jl.[children]=[{_contentId:MW …",-10.280248
135,0.569615,https://vimeo.com/legal/privacy,84,"… snug\"",\""[children]\"":[[\""$\"",\""$3\"",\""U95xfMuNHJMz\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""10. Protecting …",-11.423460
136,0.569615,https://vimeo.com/privacy,84,"… snug\"",\""[children]\"":[[\""$\"",\""$3\"",\""U95xfMuNHJMz\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""10. Protecting …",-11.423460
137,0.565053,https://oag.ca.gov/privacy/databreach/list,1068,… 11/30/2012 WestCoast [Children]'s Clinic 11/20/2012 …,-9.462216
138,0.555813,https://www.paypal.com/myaccount/privacy/cookiePrefs?locale.x=en_US,12,… Here’s where you can ask to see the [data] …,-10.689088
139,0.544184,https://snap.com/brand-guidelines,30,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-8.688848
140,0.541969,https://paypal.com/myaccount/privacy/cookiePrefs,16,"… [data] (optional)"",""getcopyinfo"":""We’ll notify you when your [data] …",-11.386296
141,0.534950,https://snap.com/terms/ai-tools,74,"… [children] of public figures, unless:"",""nodeType"":""text""}],""nodeType"":""paragraph""},{""[data] …",-8.691123
142,0.533263,https://docs.stripe.com,222,"… subscription-[data]-create-checkout-session"",""description"":null,""[children]"":[],""hidden"":true …",-11.328462
143,0.527462,https://ads.tiktok.com/help/,451,"setup methods"",slug:""website-[data]-connection-setup-methods"",isCopilotInclude:i …",-10.347740
144,0.524912,https://www.ebay.com/help/policies/member-behaviour-policies/user-privacy-notice-privacy-policy?id=4260,52,… and sales [data] to complete a transaction. [Children]'s Privacy …,-9.758683
145,0.522379,https://vimeo.com/privacy,55,"… nJELbNDZK8IA\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""You may submit [data] to …",-11.214883
146,0.522379,https://vimeo.com/legal/privacy,55,"… nJELbNDZK8IA\"",{\""[children]\"":[[\""$\"",\""$3\"",\""0\"",{\""[children]\"":\""You may submit [data] to …",-11.214883
147,0.521367,https://paypal.com/myaccount/privacy/cookiePrefs,1,"… variable-block"",""value"":""link"",""[children]"":[{""type"":""literal"",""value"":"" contact us …",-10.494698
148,0.516842,https://vimeo.com/privacy/us-state-privacy,30,"… 1\"",\""[children]\"":[[\""$\"",\""span\"",null,{\""className\"":\""truncate grow\"",\""[children]\"":\""🇺🇸 English\""}],[\""$\"",\""$L24 …",-10.347068
149,0.503489,https://vimeo.com/legal/privacy,30,"uto\"",\""[children]\"":[\""$\"",\""div\"",null,{\""className\"":\""mx-auto grid max-w …",-10.758538
150,0.503489,https://vimeo.com/privacy,30,"uto\"",\""[children]\"":[\""$\"",\""div\"",null,{\""className\"":\""mx-auto grid max-w …",-10.758538
151,0.500663,https://paypal.com/myaccount/privacy/cookiePrefs,50,"… variable-block"",""value"":""link"",""[children]"":[{""type"":""literal"",""value"":""privacy statement …",-9.688982
152,0.500663,https://paypal.com/myaccount/privacy/cookiePrefs,53,"… variable-block"",""value"":""link"",""[children]"":[{""type"":""literal"",""value"":""privacy statement …",-9.688982
153,0.498093,https://vimeo.com/privacy/us-state-privacy,34,"ht-0 left-auto\"",\""[children]\"":[\""$L33\"",\""$L34\"",\""$L35\"",\""$L36\""]}]}]]}]\n2a …",-9.947441
154,0.495104,https://snap.com/privacy/size-style-solutions-privacy-notice?lang=en-GB,138,"… Solutions for [children], but the relevant [data] (including Fit Profile …",-9.091764
155,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=ga-IE,57,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
156,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=lt-LT,71,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
157,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=lv-LV,58,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
158,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=et-EE,58,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
159,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=sk-SK,58,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
160,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=hu-HU,58,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
161,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=en-GB,57,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
162,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice,327,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
163,0.493407,https://snap.com/privacy/shopping-suite-privacy-notice?lang=cs-CZ,58,"… paragraph""},{""[data]"":{},""content"":[{""[data]"":{},""marks"":[{""type"":""bold""}],""value"":""[Children]"",""nodeType …",-9.783687
